Category,Subcategory,count,tag
34-PLM,Altro,23624,DEFAULT
70-CMS,Infrastructure,7464,
32-EBS (ERP),Sales & Logistics,6629,
30-ERP Microsoft AX 2012,Warehouse & Material Mgmt,6567,
30-ERP Microsoft AX 2012,Production,4643,
30-ERP Microsoft AX 2012,Finance,4333,
48-BI Microsoft,Sales & Logistics,3797,
46-MyPortal,13-PORTALE,3583,
01-Workplace,User Management,3530,
40-CRM Microsoft,Service & Field Service,3260,
66-ERP-365FO,66-ERP-365FO,3154,DEFAULT
99-Z-Other Applications,99-Z-Other Applications,2918,TRASHBIN
01-Workplace,Desktop,2839,DEFAULT
70-CMS,Other,2569,DEFAULT
01-Workplace,Z-Others,2512,DEFAULT
42-CPQ Wood,42-CPQ,2374,
30-ERP Microsoft AX 2012,Procurement,2312,
40-CRM Microsoft,Sales,2080,
30-ERP Microsoft AX 2012,User Management,1932,
46-MyPortal,01-DMS,1885,
58-FCS,MDS,1570,
48-BI Microsoft,Finance,1374,
30-ERP Microsoft AX 2012,Sales & Logistics,1362,
32-EBS (ERP),Finance,1206,
52-Hyperion,Hyperion,1157,FLAT
73-ERP (ACG AS/400),Service,1077,
34-PLM,Workflow,1040,
72-ASM,Service,1010,
35-CAD,Solid Edge,938,
73-ERP (ACG AS/400),Planning and Supply Chain,929,
58-FCS,LPS,895,
48-BI Microsoft,Controlling,874,
40-CRM Microsoft,Field Service,784,
71-HCL NOTES,Service,680,
70-CMS,Service,627,
30-ERP Microsoft AX 2012,Quality,581,
02-User Application,Z-Others,569,DEFAULT
71-HCL NOTES,Sales,538,
66-ERP-365FO,Finance,529,
01-Workplace,User Creation,493,
42-CPQ Wood,Pricing & Quoting,480,
30-ERP Microsoft AX 2012,Sales & Logistic Machines,471,
30-ERP Microsoft AX 2012,Sales & Logistic Items,460,
02-User Application,Office 365 Applications,460,
70-CMS,Production,454,
71-HCL NOTES,Planning and Supply Chain,412,
64-HR-DD365FO,64-HR-DD365FO,412,FLAT
01-Workplace,Password Reset,394,
42-CPQ Wood,Configurator,391,
64-Applicazioni HR,365FO - Talent,382,
48-BI Microsoft,Production,376,
70-CMS,Sales & Logistics,350,
30-ERP Microsoft AX 2012,Sales Machines,348,
44-iService,iService,342,FLAT
46-MyPortal,03-ESHOP,336,
40-CRM Microsoft,Customer Service,320,
01-Workplace,Laptop,305,
67-RPA,Entrate Merci,296,
58-FCS,FCS (all),287,
01-Workplace,SW Installation,286,
65-Applicazioni Corporate,SAP Concur,272,FLAT
71-HCL NOTES,Engineering,271,
73-ERP (ACG AS/400),Procurement,270,
30-ERP Microsoft AX 2012,Sales Items,261,
64-Applicazioni HR,CDP,256,
58-FCS,MDM,248,
29-Z-Other Infrastructure,29-Z-Other Infrastructure,246,TRASHBIN
58-FCS,HI-WMS,232,
66-ERP-365FO,Logistics Machines,230,
06-Server,Application Server,230,
66-ERP-365FO,Sales Machines,225,
58-FCS,HI-MDS,223,
80-North America,Infrastructure,216,FLAT
73-ERP (ACG AS/400),Finance,205,
71-HCL NOTES,Other,196,DEFAULT
30-ERP Microsoft AX 2012,Logistics Machines,193,
73-ERP (ACG AS/400),Other,187,DEFAULT
01-Workplace,First Supply,177,
09-Mobility Device,Mobile Phone,176,
30-ERP Microsoft AX 2012,Logistics Items,168,
48-BI Microsoft,CDP,168,
66-ERP-365FO,Sales Items,166,
04-Network,Z-Others,164,DEFAULT
71-HCL NOTES,Finance,162,
,,153,
02-User Application,Google G Suite,152,
02-User Application,User Tool,148,
77-QUALIWARE,Other,145,DEFAULT
32-EBS (ERP),Configurator,144,
30-ERP Microsoft AX 2012,Configurator,142,
02-User Application,Office tool,140,
02-User Application,Application Login,138,
60-Nicim,Nicim,125,FLAT
48-BI Microsoft,Warehouse & Material Mgmt,123,
06-Server,Z-Others,120,DEFAULT
34-PLM,Traslatore Solid Edge,117,
02-User Application,User Application Other,116,
66-ERP-365FO,Logistics Items,110,
35-CAD,Eplan,110,
30-ERP Microsoft AX 2012,User Creation,102,
70-CMS,Warehouse & Material Mgmt,102,
35-CAD,Autocad,99,
30-ERP Microsoft AX 2012,Controlling,97,
70-CMS,Finance,97,
72-ASM,Other,94,DEFAULT
48-BI Microsoft,Procurement,93,
46-MyPortal,D-Sales,89,
05-Printer,Multi-function Printer,86,
35-CAD,Altro,84,DEFAULT
03-System Software,Z-Others,82,DEFAULT
66-ERP-365FO,Sales & Logistics,78,
72-ASM,Sales,78,
73-ERP (ACG AS/400),Sales,77,
50-DWH Oracle,DWH Oracle,75,FLAT
46-MyPortal,05-PORTALE PARTNERS MARKETING,74,
04-Network,Internet,71,
71-HCL NOTES,Procurement,68,
68-ERP Fondwise,Finance,68,
58-FCS,EDS,67,
46-MyPortal,07-PORTALE PARTNERS LOGISTICA,66,
30-ERP Microsoft AX 2012,Customer & Vendor master data,62,
58-FCS,DDS,61,
07-Storage,Disk,60,
34-PLM,Client issue,54,
75-MPS,Other,53,DEFAULT
67-RPA,Ciclo Passivo,51,
63-MANTIS,63-MANTIS,51,FLAT
74-MES (OASI),Planning and Supply Chain,51,
72-ASM,Quality,50,
02-User Application,Antivirus,50,
72-ASM,Planning and Supply Chain,50,
58-FCS,WMS,48,
73-ERP (ACG AS/400),Spare Parts,48,
35-CAD,Creo,47,
30-ERP Microsoft AX 2012,Travel expenses,46,
36-SMC,smc,46,TRASHBIN
84-LOGiN (WMS),Other,45,DEFAULT
35-CAD,Autocad LT,43,
40-CRM Microsoft,Marketing,43,
06-Server,DB Server,42,
07-Storage,Z-Others,42,DEFAULT
72-ASM,Engineering,41,
